X,y,y_1
A man reported an assault near the downtown area. He stated that he was walking home when he was attacked by an unknown assailant with a knife. The victim suffered minor injuries and was taken to the hospital for treatment.,Assault,Knife
"An assault was reported at a house party on Cherry Lane. A verbal altercation escalated into a physical fight between two guests, resulting in injuries to both parties. Police arrived to find the participants separated, and medical assistance was provided to those injured. Bear Spray was used during the assault.",Assault,Bear Spray
"During a pickup basketball game at the park, tempers flared between players, leading to a physical confrontation resulting in one Bear Spraying on the other. Both players sustained minor injuries, and the game was halted while authorities were called to the scene.",Assault,Bear Spray
A heated argument between neighbors on Maple Avenue turned violent when one individual struck the other with a baseball bat. The victim sustained serious injuries and was transported to the hospital for treatment. The assailant was arrested and charged with assault with a deadly weapon.,Assault,Baseball Bat
"During a disagreement at a local bar, one individual struck another with a bottle, causing injury. Witnesses called the authorities, and both parties were detained for questioning.",Assault,Bottle
A bar fight broke out during a sporting event viewing party at a pub downtown. Patrons became rowdy and started throwing punches after a disagreement over the game's outcome. Bar staff intervened and called the police to break up the fight. Several individuals sustained minor injuries. One man used a gun to shoot the other.,Assault,Firearm
A road rage incident turned violent on the highway when two drivers began arguing over lane merging. One driver exited their vehicle and shot the driver with a gun. the other driver through the open window before fleeing the scene. Police are investigating the incident and searching for the suspect.,Assault,Firearm
"A bank was robbed by two masked individuals. They entered the bank, brandished guns, and demanded money from the tellers. The suspects escaped before the police arrived.",Robbery,Firearm
"A convenience store was robbed at gunpoint by two masked individuals. The suspects entered the store, brandished firearms, and demanded cash from the register. They fled the scene with an undisclosed amount of money before police arrived. The store clerk was unharmed but shaken by the incident.",Robbery,Firearm
"An armed robbery occurred at a convenience store late at night. The suspect entered the store, brandished a firearm, and demanded money from the cashier. The suspect fled the scene with cash and cigarettes. Police are reviewing surveillance footage to identify the perpetrator.",Robbery,Firearm
"Two individuals were robbed at gunpoint while sitting in their parked car outside a nightclub. The suspects approached the vehicle, pointed a firearm at the victims, and demanded their wallets and phones. The victims complied, and the suspects fled the scene in a waiting vehicle. Police are reviewing surveillance footage to identify the suspects.",Robbery,Firearm
A jewelry store was robbed by masked individuals armed with firearms. The suspects smashed display cases and stole jewelry before fleeing the scene in a waiting vehicle. Police are conducting a forensic investigation of the scene and reviewing surveillance footage from nearby cameras.,Robbery,Firearm
"During a late-night food delivery, a driver was robbed at gunpoint by a customer who had placed a fake order. The thief stole cash and food before fleeing the scene.",Robbery,Firearm
Officers responded to a call at a school playground where a group of teenagers were involved in a physical altercation. One youth was stabbed with a knife. The fight reportedly started over a disagreement during a game of basketball. Police diffused the situation and spoke to all parties involved and their parents.,Assault,Knife
"At a crowded concert, a dispute erupted between two concertgoers over seating. The argument escalated into a physical altercation, with punches thrown before security intervened. One party pulled out a knife and stabbed the security.",Assault,Knife
"A pedestrian was robbed of their wallet while walking through a dimly lit alley downtown. The victim was approached by a group of individuals who threatened them with a knife and demanded money. The suspects fled on foot with the wallet, leaving the victim unharmed but shaken.",Robbery,Knife
A pedestrian was robbed at knifepoint while walking through a park after dark. The suspect demanded the victim's wallet and phone before fleeing on foot. Police conducted a search of the area but were unable to locate the suspect.,Robbery,Knife
"A delivery driver was robbed of their vehicle and packages while making a delivery in a residential neighborhood. The suspect approached the driver, threatened them with a bear spray, and demanded the keys to the vehicle. The suspect then fled the scene in the stolen delivery truck. Police are actively searching for the stolen vehicle and the suspect.",Robbery,Knife
"Two individuals wearing masks entered a convenience store, brandishing knives, and demanding money from the cashier. They fled the scene with cash and cigarettes before police arrived.",Robbery,Knife
"A homeowner returned from vacation to find their house broken into. The back door was forced open, and valuable items, including electronics and jewelry, were stolen. The police are conducting a thorough investigation.",Break and Enter,Unknown
"A home invasion was reported at a residence on Oak Street. The homeowner returned home to find the front door forced open and the interior ransacked. Several valuable items, including electronics and jewelry, were stolen. Police are conducting a forensic investigation of the scene and interviewing neighbors for any potential leads.",Break and Enter,Unknown
"A burglary occurred at a house on Pine Avenue while the residents were away on vacation. The thieves gained entry by breaking a window in the back of the house and proceeded to steal electronics, cash, and personal belongings. Police are urging residents to secure their homes and report any suspicious activity in the area.",Break and Enter,Unknown
An attempted break-in was thwarted at a residence on Maple Lane by a vigilant neighbor who witnessed suspicious individuals attempting to force open the front door. The suspects fled the scene before police arrived but left behind evidence of attempted entry. Police are increasing patrols in the area to prevent further incidents.,Break and Enter,Unknown
"A break-in was reported at a suburban home on Willow Avenue. The perpetrators entered through a basement window and stole valuables, including electronics and jewelry, from the interior. Police are canvassing the neighborhood and collecting evidence to identify the suspects responsible for the burglary.",Break and Enter,Unknown
A house was broken into on Elm Street while the residents were asleep upstairs. The thieves entered through an unlocked door and stole cash and personal belongings from the living room before fleeing the scene undetected. Police are advising residents to secure their homes and install security measures to deter burglars.,Break and Enter,Unknown
"A break-in was reported at a suburban home on Cedar Avenue. The thieves entered through a window and stole valuables, including electronics and jewelry, from the interior. Police are canvassing the neighborhood and collecting evidence to identify the suspects responsible for the burglary.",Break and Enter,Unknown
"A home invasion was reported at a residence on Birch Street. The homeowner returned home to find evidence of forced entry and personal belongings scattered throughout the house. Several valuable items, including electronics and jewelry, were stolen. Police are conducting a forensic investigation of the scene.",Break and Enter,Unknown
"A burglary occurred at a house on Oak Avenue while the residents were away on vacation. The thieves gained entry through a back door and proceeded to ransack the interior, stealing electronics, cash, and personal belongings. Police are urging residents to secure their homes and report any suspicious activity.",Break and Enter,Unknown
"An attempted break-in was thwarted at a residence on Pine Street by a home security system. The would-be burglar triggered an alarm upon attempting to force open a window, causing them to flee the scene. Police are reviewing surveillance footage and increasing patrols in the area.",Break and Enter,Unknown
A house was broken into on Walnut Lane while the residents were out for the evening. The thieves entered through an unlocked door and stole cash and personal belongings from the living room before fleeing the scene undetected. Police are advising residents to secure their homes and install security measures.,Break and Enter,Unknown
"While the residents were on vacation, their home was broken into through a back door. The intruders ransacked the interior, stealing electronics and valuables before fleeing undetected.",Break and Enter,Unknown
"In a quiet suburban neighborhood, a burglar broke into a house through a basement window and stole jewelry and cash from the master bedroom. The homeowner discovered the break-in upon returning from work.",Break and Enter,Unknown
"At a residence in a gated community, a break-in occurred during the day when the occupants were at work. The intruders forced open a window and stole electronics and personal belongings from multiple rooms.",Break and Enter,Unknown
"During a power outage in the neighborhood, opportunistic thieves broke into homes under the cover of darkness. They targeted unlocked doors and windows, making off with valuables before residents realized what had happened.",Break and Enter,Unknown
"In a residential area, a home was broken into during the evening hours. The thieves gained entry through a garage door and stole electronics and jewelry from the living room before fleeing the scene.",Break and Enter,Unknown
"A store owner called to report a theft. The suspect stole several high-value items from the store shelves and fled the scene. The security footage captured the incident, and the police are investigating.",Theft,Unknown
A shoplifting incident occurred at a department store in the mall. The suspect was caught on surveillance cameras stealing clothing items and concealing them in a backpack. Store security detained the individual until police arrived to make an arrest.,Theft,Unknown
A wallet was reported stolen from a parked car outside a grocery store. The victim left the vehicle momentarily and returned to find the passenger window smashed and their wallet missing from the center console. Police are investigating the theft and reviewing surveillance footage from nearby cameras.,Theft,Unknown
